Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
oNyoNyoNo,0,230,0,0,https://lolchess.gg/profile/BR/oNyoNyoNo,https://app.mobalytics.gg/pt_br/tft/profile/BR/oNyoNyoNo/overview
putin,0,176,0,0,https://lolchess.gg/profile/BR/putin,https://app.mobalytics.gg/pt_br/tft/profile/BR/putin/overview
無情はさけ,0,53,0,0,https://lolchess.gg/profile/BR/無情はさけ,https://app.mobalytics.gg/pt_br/tft/profile/BR/無情はさけ/overview
AOIishihara,0,140,0,0,https://lolchess.gg/profile/BR/AOIishihara,https://app.mobalytics.gg/pt_br/tft/profile/BR/AOIishihara/overview
JingWanDaLaoHu,0,243,0,1,https://lolchess.gg/profile/BR/JingWanDaLaoHu,https://app.mobalytics.gg/pt_br/tft/profile/BR/JingWanDaLaoHu/overview
KawhiTraitor02,0,262,0,0,https://lolchess.gg/profile/BR/KawhiTraitor02,https://app.mobalytics.gg/pt_br/tft/profile/BR/KawhiTraitor02/overview
機動戦士カズダム,0,134,0,2,https://lolchess.gg/profile/BR/機動戦士カズダム,https://app.mobalytics.gg/pt_br/tft/profile/BR/機動戦士カズダム/overview
衣錦尚絅,0,241,0,1,https://lolchess.gg/profile/BR/衣錦尚絅,https://app.mobalytics.gg/pt_br/tft/profile/BR/衣錦尚絅/overview
Nemashu,0,96,0,0,https://lolchess.gg/profile/BR/Nemashu,https://app.mobalytics.gg/pt_br/tft/profile/BR/Nemashu/overview
SolitaryBeauty,0,307,0,0,https://lolchess.gg/profile/BR/SolitaryBeauty,https://app.mobalytics.gg/pt_br/tft/profile/BR/SolitaryBeauty/overview
やくしまるえつこ,0,402,0,0,https://lolchess.gg/profile/BR/やくしまるえつこ,https://app.mobalytics.gg/pt_br/tft/profile/BR/やくしまるえつこ/overview
Sh4kugan,0,37,0,2,https://lolchess.gg/profile/BR/Sh4kugan,https://app.mobalytics.gg/pt_br/tft/profile/BR/Sh4kugan/overview
わはは,0,127,0,0,https://lolchess.gg/profile/BR/わはは,https://app.mobalytics.gg/pt_br/tft/profile/BR/わはは/overview
ちゃんさち,0,101,0,0,https://lolchess.gg/profile/BR/ちゃんさち,https://app.mobalytics.gg/pt_br/tft/profile/BR/ちゃんさち/overview
MrQVN,0,335,0,3,https://lolchess.gg/profile/BR/MrQVN,https://app.mobalytics.gg/pt_br/tft/profile/BR/MrQVN/overview
うちはサスケ,0,88,0,0,https://lolchess.gg/profile/BR/うちはサスケ,https://app.mobalytics.gg/pt_br/tft/profile/BR/うちはサスケ/overview
リリド,0,331,0,0,https://lolchess.gg/profile/BR/リリド,https://app.mobalytics.gg/pt_br/tft/profile/BR/リリド/overview
トントコトン,0,76,0,0,https://lolchess.gg/profile/BR/トントコトン,https://app.mobalytics.gg/pt_br/tft/profile/BR/トントコトン/overview
楞次定律,0,149,0,0,https://lolchess.gg/profile/BR/楞次定律,https://app.mobalytics.gg/pt_br/tft/profile/BR/楞次定律/overview
Pro Scare,0,31,0,0,https://lolchess.gg/profile/BR/Pro Scare,https://app.mobalytics.gg/pt_br/tft/profile/BR/Pro Scare/overview
Omash,0,183,0,0,https://lolchess.gg/profile/BR/Omash,https://app.mobalytics.gg/pt_br/tft/profile/BR/Omash/overview
ワーウィッ久太郎,0,151,0,0,https://lolchess.gg/profile/BR/ワーウィッ久太郎,https://app.mobalytics.gg/pt_br/tft/profile/BR/ワーウィッ久太郎/overview
艾迪華素,0,45,0,0,https://lolchess.gg/profile/BR/艾迪華素,https://app.mobalytics.gg/pt_br/tft/profile/BR/艾迪華素/overview
mankit1230,0,189,0,0,https://lolchess.gg/profile/BR/mankit1230,https://app.mobalytics.gg/pt_br/tft/profile/BR/mankit1230/overview
weststar,0,240,0,0,https://lolchess.gg/profile/BR/weststar,https://app.mobalytics.gg/pt_br/tft/profile/BR/weststar/overview
Nusaaan,0,114,0,0,https://lolchess.gg/profile/BR/Nusaaan,https://app.mobalytics.gg/pt_br/tft/profile/BR/Nusaaan/overview
Son 36 ne,0,113,0,8,https://lolchess.gg/profile/BR/Son 36 ne,https://app.mobalytics.gg/pt_br/tft/profile/BR/Son 36 ne/overview
Fever Nuts,0,162,0,0,https://lolchess.gg/profile/BR/Fever Nuts,https://app.mobalytics.gg/pt_br/tft/profile/BR/Fever Nuts/overview
3chan,0,194,0,0,https://lolchess.gg/profile/BR/3chan,https://app.mobalytics.gg/pt_br/tft/profile/BR/3chan/overview
GGboys911,0,45,0,0,https://lolchess.gg/profile/BR/GGboys911,https://app.mobalytics.gg/pt_br/tft/profile/BR/GGboys911/overview
あかめが,0,99,0,1,https://lolchess.gg/profile/BR/あかめが,https://app.mobalytics.gg/pt_br/tft/profile/BR/あかめが/overview
arishin,0,396,0,35,https://lolchess.gg/profile/BR/arishin,https://app.mobalytics.gg/pt_br/tft/profile/BR/arishin/overview
ShibaUra,0,112,0,0,https://lolchess.gg/profile/BR/ShibaUra,https://app.mobalytics.gg/pt_br/tft/profile/BR/ShibaUra/overview
脚踏星河入梦,0,275,0,0,https://lolchess.gg/profile/BR/脚踏星河入梦,https://app.mobalytics.gg/pt_br/tft/profile/BR/脚踏星河入梦/overview
サイオン専,0,747,0,0,https://lolchess.gg/profile/BR/サイオン専,https://app.mobalytics.gg/pt_br/tft/profile/BR/サイオン専/overview
Bingbing美,0,202,0,0,https://lolchess.gg/profile/BR/Bingbing美,https://app.mobalytics.gg/pt_br/tft/profile/BR/Bingbing美/overview
Kirito TYT Asuna,0,245,0,0,https://lolchess.gg/profile/BR/Kirito TYT Asuna,https://app.mobalytics.gg/pt_br/tft/profile/BR/Kirito TYT Asuna/overview
gibahaoyang,0,872,0,51,https://lolchess.gg/profile/BR/gibahaoyang,https://app.mobalytics.gg/pt_br/tft/profile/BR/gibahaoyang/overview
shenroud,0,108,0,1,https://lolchess.gg/profile/BR/shenroud,https://app.mobalytics.gg/pt_br/tft/profile/BR/shenroud/overview
LunarAlice,0,89,0,0,https://lolchess.gg/profile/BR/LunarAlice,https://app.mobalytics.gg/pt_br/tft/profile/BR/LunarAlice/overview
破竹之勢,0,53,0,0,https://lolchess.gg/profile/BR/破竹之勢,https://app.mobalytics.gg/pt_br/tft/profile/BR/破竹之勢/overview
Takusa,0,403,0,0,https://lolchess.gg/profile/BR/Takusa,https://app.mobalytics.gg/pt_br/tft/profile/BR/Takusa/overview
Ren Ripple,0,55,0,0,https://lolchess.gg/profile/BR/Ren Ripple,https://app.mobalytics.gg/pt_br/tft/profile/BR/Ren Ripple/overview
baieu3,0,128,0,0,https://lolchess.gg/profile/BR/baieu3,https://app.mobalytics.gg/pt_br/tft/profile/BR/baieu3/overview
Гоша Рубчинский,0,260,0,0,https://lolchess.gg/profile/BR/Гоша Рубчинский,https://app.mobalytics.gg/pt_br/tft/profile/BR/Гоша Рубчинский/overview
ShySensei,0,114,0,0,https://lolchess.gg/profile/BR/ShySensei,https://app.mobalytics.gg/pt_br/tft/profile/BR/ShySensei/overview
VN Lack,0,209,0,0,https://lolchess.gg/profile/BR/VN Lack,https://app.mobalytics.gg/pt_br/tft/profile/BR/VN Lack/overview
しぃな,0,114,0,0,https://lolchess.gg/profile/BR/しぃな,https://app.mobalytics.gg/pt_br/tft/profile/BR/しぃな/overview
тэмээ ,0,428,0,0,https://lolchess.gg/profile/BR/тэмээ ,https://app.mobalytics.gg/pt_br/tft/profile/BR/тэмээ /overview
メタモンみねうち,0,46,0,0,https://lolchess.gg/profile/BR/メタモンみねうち,https://app.mobalytics.gg/pt_br/tft/profile/BR/メタモンみねうち/overview
olan,0,57,0,0,https://lolchess.gg/profile/BR/olan,https://app.mobalytics.gg/pt_br/tft/profile/BR/olan/overview
もやのざ,0,382,0,0,https://lolchess.gg/profile/BR/もやのざ,https://app.mobalytics.gg/pt_br/tft/profile/BR/もやのざ/overview
はあああ,0,117,0,0,https://lolchess.gg/profile/BR/はあああ,https://app.mobalytics.gg/pt_br/tft/profile/BR/はあああ/overview
フィ一クラウゼル,0,85,0,0,https://lolchess.gg/profile/BR/フィ一クラウゼル,https://app.mobalytics.gg/pt_br/tft/profile/BR/フィ一クラウゼル/overview
持槍戰亂,0,119,0,0,https://lolchess.gg/profile/BR/持槍戰亂,https://app.mobalytics.gg/pt_br/tft/profile/BR/持槍戰亂/overview
zglborn,0,119,0,2,https://lolchess.gg/profile/BR/zglborn,https://app.mobalytics.gg/pt_br/tft/profile/BR/zglborn/overview
 知悔不愿悔,0,433,0,58,https://lolchess.gg/profile/BR/ 知悔不愿悔,https://app.mobalytics.gg/pt_br/tft/profile/BR/ 知悔不愿悔/overview
malshuna,0,357,0,0,https://lolchess.gg/profile/BR/malshuna,https://app.mobalytics.gg/pt_br/tft/profile/BR/malshuna/overview
RainstopsY,0,86,0,0,https://lolchess.gg/profile/BR/RainstopsY,https://app.mobalytics.gg/pt_br/tft/profile/BR/RainstopsY/overview
傑老板,0,84,0,0,https://lolchess.gg/profile/BR/傑老板,https://app.mobalytics.gg/pt_br/tft/profile/BR/傑老板/overview
Letus2on1,0,83,0,0,https://lolchess.gg/profile/BR/Letus2on1,https://app.mobalytics.gg/pt_br/tft/profile/BR/Letus2on1/overview
やさいちゃん,0,49,0,0,https://lolchess.gg/profile/BR/やさいちゃん,https://app.mobalytics.gg/pt_br/tft/profile/BR/やさいちゃん/overview
RayTW,0,193,0,0,https://lolchess.gg/profile/BR/RayTW,https://app.mobalytics.gg/pt_br/tft/profile/BR/RayTW/overview
sjfvbhdue,0,191,0,0,https://lolchess.gg/profile/BR/sjfvbhdue,https://app.mobalytics.gg/pt_br/tft/profile/BR/sjfvbhdue/overview
dotter,0,180,0,0,https://lolchess.gg/profile/BR/dotter,https://app.mobalytics.gg/pt_br/tft/profile/BR/dotter/overview
yowazako,0,155,0,0,https://lolchess.gg/profile/BR/yowazako,https://app.mobalytics.gg/pt_br/tft/profile/BR/yowazako/overview
怒ってるｗｗ,0,250,0,4,https://lolchess.gg/profile/BR/怒ってるｗｗ,https://app.mobalytics.gg/pt_br/tft/profile/BR/怒ってるｗｗ/overview
人 狼,0,374,0,0,https://lolchess.gg/profile/BR/人 狼,https://app.mobalytics.gg/pt_br/tft/profile/BR/人 狼/overview
fjws,0,791,0,0,https://lolchess.gg/profile/BR/fjws,https://app.mobalytics.gg/pt_br/tft/profile/BR/fjws/overview
vailonluonnnn,0,363,0,0,https://lolchess.gg/profile/BR/vailonluonnnn,https://app.mobalytics.gg/pt_br/tft/profile/BR/vailonluonnnn/overview
10個入,0,117,0,0,https://lolchess.gg/profile/BR/10個入,https://app.mobalytics.gg/pt_br/tft/profile/BR/10個入/overview
ジュリアP,0,56,0,1,https://lolchess.gg/profile/BR/ジュリアP,https://app.mobalytics.gg/pt_br/tft/profile/BR/ジュリアP/overview
tintin1234123,0,67,0,0,https://lolchess.gg/profile/BR/tintin1234123,https://app.mobalytics.gg/pt_br/tft/profile/BR/tintin1234123/overview
bobobocnm,0,101,0,1,https://lolchess.gg/profile/BR/bobobocnm,https://app.mobalytics.gg/pt_br/tft/profile/BR/bobobocnm/overview
ぽんきちくん,0,138,0,0,https://lolchess.gg/profile/BR/ぽんきちくん,https://app.mobalytics.gg/pt_br/tft/profile/BR/ぽんきちくん/overview
ゆしれ,0,252,0,0,https://lolchess.gg/profile/BR/ゆしれ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ゆしれ/overview
darly,0,93,0,0,https://lolchess.gg/profile/BR/darly,https://app.mobalytics.gg/pt_br/tft/profile/BR/darly/overview
enotsthgis,0,65,0,6,https://lolchess.gg/profile/BR/enotsthgis,https://app.mobalytics.gg/pt_br/tft/profile/BR/enotsthgis/overview
強チェリー,0,81,0,0,https://lolchess.gg/profile/BR/強チェリー,https://app.mobalytics.gg/pt_br/tft/profile/BR/強チェリー/overview
8pIEcE2die,0,365,0,0,https://lolchess.gg/profile/BR/8pIEcE2die,https://app.mobalytics.gg/pt_br/tft/profile/BR/8pIEcE2die/overview
momoko,0,61,0,0,https://lolchess.gg/profile/BR/momoko,https://app.mobalytics.gg/pt_br/tft/profile/BR/momoko/overview
きゃべちん,0,85,0,0,https://lolchess.gg/profile/BR/きゃべちん,https://app.mobalytics.gg/pt_br/tft/profile/BR/きゃべちん/overview
神原拓也x,0,75,0,0,https://lolchess.gg/profile/BR/神原拓也x,https://app.mobalytics.gg/pt_br/tft/profile/BR/神原拓也x/overview
YAYOBOI,0,542,0,0,https://lolchess.gg/profile/BR/YAYOBOI,https://app.mobalytics.gg/pt_br/tft/profile/BR/YAYOBOI/overview
くみちょー,0,145,0,0,https://lolchess.gg/profile/BR/くみちょー,https://app.mobalytics.gg/pt_br/tft/profile/BR/くみちょー/overview
HocProVip106,0,171,0,0,https://lolchess.gg/profile/BR/HocProVip106,https://app.mobalytics.gg/pt_br/tft/profile/BR/HocProVip106/overview
noteta,0,230,0,0,https://lolchess.gg/profile/BR/noteta,https://app.mobalytics.gg/pt_br/tft/profile/BR/noteta/overview
ネフィロン,0,236,0,0,https://lolchess.gg/profile/BR/ネフィロン,https://app.mobalytics.gg/pt_br/tft/profile/BR/ネフィロン/overview
ebisu3,0,126,0,0,https://lolchess.gg/profile/BR/ebisu3,https://app.mobalytics.gg/pt_br/tft/profile/BR/ebisu3/overview
xloli,0,141,0,2,https://lolchess.gg/profile/BR/xloli,https://app.mobalytics.gg/pt_br/tft/profile/BR/xloli/overview
bayonmita,0,200,0,0,https://lolchess.gg/profile/BR/bayonmita,https://app.mobalytics.gg/pt_br/tft/profile/BR/bayonmita/overview
Young Cái Hand,0,105,0,0,https://lolchess.gg/profile/BR/Young Cái Hand,https://app.mobalytics.gg/pt_br/tft/profile/BR/Young Cái Hand/overview
Haka,0,103,0,0,https://lolchess.gg/profile/BR/Haka,https://app.mobalytics.gg/pt_br/tft/profile/BR/Haka/overview
Pharoah0305,0,104,0,0,https://lolchess.gg/profile/BR/Pharoah0305,https://app.mobalytics.gg/pt_br/tft/profile/BR/Pharoah0305/overview
busi819,0,49,0,0,https://lolchess.gg/profile/BR/busi819,https://app.mobalytics.gg/pt_br/tft/profile/BR/busi819/overview
IRAMU,0,64,0,0,https://lolchess.gg/profile/BR/IRAMU,https://app.mobalytics.gg/pt_br/tft/profile/BR/IRAMU/overview
VNS Wibu ,0,134,0,0,https://lolchess.gg/profile/BR/VNS Wibu ,https://app.mobalytics.gg/pt_br/tft/profile/BR/VNS Wibu /overview
madan,0,128,0,0,https://lolchess.gg/profile/BR/madan,https://app.mobalytics.gg/pt_br/tft/profile/BR/madan/overview
ライラさん,0,311,0,0,https://lolchess.gg/profile/BR/ライラさん,https://app.mobalytics.gg/pt_br/tft/profile/BR/ライラさん/overview
hiraharadicek,0,67,0,0,https://lolchess.gg/profile/BR/hiraharadicek,https://app.mobalytics.gg/pt_br/tft/profile/BR/hiraharadicek/overview
ひさしからず,0,51,0,0,https://lolchess.gg/profile/BR/ひさしからず,https://app.mobalytics.gg/pt_br/tft/profile/BR/ひさしからず/overview
TFMT1OTTO,0,90,0,0,https://lolchess.gg/profile/BR/TFMT1OTTO,https://app.mobalytics.gg/pt_br/tft/profile/BR/TFMT1OTTO/overview
ひみつ,0,69,0,0,https://lolchess.gg/profile/BR/ひみつ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ひみつ/overview
ombyshi,0,122,0,0,https://lolchess.gg/profile/BR/ombyshi,https://app.mobalytics.gg/pt_br/tft/profile/BR/ombyshi/overview
uuu12,0,169,0,14,https://lolchess.gg/profile/BR/uuu12,https://app.mobalytics.gg/pt_br/tft/profile/BR/uuu12/overview
r579866877,0,80,0,0,https://lolchess.gg/profile/BR/r579866877,https://app.mobalytics.gg/pt_br/tft/profile/BR/r579866877/overview
Tryndamere VN62,0,183,0,37,https://lolchess.gg/profile/BR/Tryndamere VN62,https://app.mobalytics.gg/pt_br/tft/profile/BR/Tryndamere VN62/overview
大鶏霸,0,49,0,0,https://lolchess.gg/profile/BR/大鶏霸,https://app.mobalytics.gg/pt_br/tft/profile/BR/大鶏霸/overview
The white Shield,0,297,0,0,https://lolchess.gg/profile/BR/The white Shield,https://app.mobalytics.gg/pt_br/tft/profile/BR/The white Shield/overview
るであ,0,21,0,0,https://lolchess.gg/profile/BR/るであ,https://app.mobalytics.gg/pt_br/tft/profile/BR/るであ/overview
たかしゅん,0,64,0,0,https://lolchess.gg/profile/BR/たかしゅん,https://app.mobalytics.gg/pt_br/tft/profile/BR/たかしゅん/overview
xubb,0,51,0,0,https://lolchess.gg/profile/BR/xubb,https://app.mobalytics.gg/pt_br/tft/profile/BR/xubb/overview
666Zzyzx,0,464,0,0,https://lolchess.gg/profile/BR/666Zzyzx,https://app.mobalytics.gg/pt_br/tft/profile/BR/666Zzyzx/overview
龍装チュリス殿堂,0,147,0,0,https://lolchess.gg/profile/BR/龍装チュリス殿堂,https://app.mobalytics.gg/pt_br/tft/profile/BR/龍装チュリス殿堂/overview
UAG UGA UAA,0,132,0,0,https://lolchess.gg/profile/BR/UAG UGA UAA,https://app.mobalytics.gg/pt_br/tft/profile/BR/UAG UGA UAA/overview
wbwbwbwbwbwbwbwb,0,281,0,24,https://lolchess.gg/profile/BR/wbwbwbwbwbwbwbwb,https://app.mobalytics.gg/pt_br/tft/profile/BR/wbwbwbwbwbwbwbwb/overview
horisugi,0,96,0,0,https://lolchess.gg/profile/BR/horisugi,https://app.mobalytics.gg/pt_br/tft/profile/BR/horisugi/overview
FreezedQwQ,0,19,0,0,https://lolchess.gg/profile/BR/FreezedQwQ,https://app.mobalytics.gg/pt_br/tft/profile/BR/FreezedQwQ/overview
mangman,0,66,0,1,https://lolchess.gg/profile/BR/mangman,https://app.mobalytics.gg/pt_br/tft/profile/BR/mangman/overview
SilverWine,0,69,0,0,https://lolchess.gg/profile/BR/SilverWine,https://app.mobalytics.gg/pt_br/tft/profile/BR/SilverWine/overview
sam not alone,0,72,0,0,https://lolchess.gg/profile/BR/sam not alone,https://app.mobalytics.gg/pt_br/tft/profile/BR/sam not alone/overview
momochumi,0,441,0,0,https://lolchess.gg/profile/BR/momochumi,https://app.mobalytics.gg/pt_br/tft/profile/BR/momochumi/overview
cchuuuu,0,164,0,0,https://lolchess.gg/profile/BR/cchuuuu,https://app.mobalytics.gg/pt_br/tft/profile/BR/cchuuuu/overview
デフォルト,0,196,0,4,https://lolchess.gg/profile/BR/デフォルト,https://app.mobalytics.gg/pt_br/tft/profile/BR/デフォルト/overview
可愛いですよ,0,109,0,0,https://lolchess.gg/profile/BR/可愛いですよ,https://app.mobalytics.gg/pt_br/tft/profile/BR/可愛いですよ/overview
uniuni0626,0,98,0,1,https://lolchess.gg/profile/BR/uniuni0626,https://app.mobalytics.gg/pt_br/tft/profile/BR/uniuni0626/overview
nhanxe,0,333,0,0,https://lolchess.gg/profile/BR/nhanxe,https://app.mobalytics.gg/pt_br/tft/profile/BR/nhanxe/overview
チャットすんな,0,124,0,54,https://lolchess.gg/profile/BR/チャットすんな,https://app.mobalytics.gg/pt_br/tft/profile/BR/チャットすんな/overview
ＣＲ海物語,0,239,0,0,https://lolchess.gg/profile/BR/ＣＲ海物語,https://app.mobalytics.gg/pt_br/tft/profile/BR/ＣＲ海物語/overview
menko is,0,351,0,0,https://lolchess.gg/profile/BR/menko is,https://app.mobalytics.gg/pt_br/tft/profile/BR/menko is/overview
NessCycle,0,292,0,0,https://lolchess.gg/profile/BR/NessCycle,https://app.mobalytics.gg/pt_br/tft/profile/BR/NessCycle/overview
1945年8月15日,0,117,0,2,https://lolchess.gg/profile/BR/1945年8月15日,https://app.mobalytics.gg/pt_br/tft/profile/BR/1945年8月15日/overview
quanganhiq130,0,168,0,0,https://lolchess.gg/profile/BR/quanganhiq130,https://app.mobalytics.gg/pt_br/tft/profile/BR/quanganhiq130/overview
Fineet,0,323,0,2,https://lolchess.gg/profile/BR/Fineet,https://app.mobalytics.gg/pt_br/tft/profile/BR/Fineet/overview
ニャルマゲドン,0,54,0,0,https://lolchess.gg/profile/BR/ニャルマゲドン,https://app.mobalytics.gg/pt_br/tft/profile/BR/ニャルマゲドン/overview
Zoo,0,86,0,0,https://lolchess.gg/profile/BR/Zoo,https://app.mobalytics.gg/pt_br/tft/profile/BR/Zoo/overview
大都会戸塚,0,53,0,0,https://lolchess.gg/profile/BR/大都会戸塚,https://app.mobalytics.gg/pt_br/tft/profile/BR/大都会戸塚/overview
さんでー,0,174,0,2,https://lolchess.gg/profile/BR/さんでー,https://app.mobalytics.gg/pt_br/tft/profile/BR/さんでー/overview
DickFace,0,200,0,0,https://lolchess.gg/profile/BR/DickFace,https://app.mobalytics.gg/pt_br/tft/profile/BR/DickFace/overview
うみどりP,0,108,0,0,https://lolchess.gg/profile/BR/うみどりP,https://app.mobalytics.gg/pt_br/tft/profile/BR/うみどりP/overview
rossi425,0,41,0,0,https://lolchess.gg/profile/BR/rossi425,https://app.mobalytics.gg/pt_br/tft/profile/BR/rossi425/overview
汝自身を知れ,0,89,0,0,https://lolchess.gg/profile/BR/汝自身を知れ,https://app.mobalytics.gg/pt_br/tft/profile/BR/汝自身を知れ/overview
IPROMISE丶,0,79,0,0,https://lolchess.gg/profile/BR/IPROMISE丶,https://app.mobalytics.gg/pt_br/tft/profile/BR/IPROMISE丶/overview
Thuadoxiu,0,75,0,1,https://lolchess.gg/profile/BR/Thuadoxiu,https://app.mobalytics.gg/pt_br/tft/profile/BR/Thuadoxiu/overview
raycasnon,0,309,0,33,https://lolchess.gg/profile/BR/raycasnon,https://app.mobalytics.gg/pt_br/tft/profile/BR/raycasnon/overview
Teke Alfort,0,97,0,0,https://lolchess.gg/profile/BR/Teke Alfort,https://app.mobalytics.gg/pt_br/tft/profile/BR/Teke Alfort/overview
れんぴ,0,129,0,0,https://lolchess.gg/profile/BR/れんぴ,https://app.mobalytics.gg/pt_br/tft/profile/BR/れんぴ/overview
LacTranVoTam,0,416,0,3,https://lolchess.gg/profile/BR/LacTranVoTam,https://app.mobalytics.gg/pt_br/tft/profile/BR/LacTranVoTam/overview
ViêtTop8,0,257,0,2,https://lolchess.gg/profile/BR/ViêtTop8,https://app.mobalytics.gg/pt_br/tft/profile/BR/ViêtTop8/overview
さすがしゅう,0,70,0,0,https://lolchess.gg/profile/BR/さすがしゅう,https://app.mobalytics.gg/pt_br/tft/profile/BR/さすがしゅう/overview
小鳥遊六花1997,0,195,0,0,https://lolchess.gg/profile/BR/小鳥遊六花1997,https://app.mobalytics.gg/pt_br/tft/profile/BR/小鳥遊六花1997/overview
doanhd98,0,35,0,0,https://lolchess.gg/profile/BR/doanhd98,https://app.mobalytics.gg/pt_br/tft/profile/BR/doanhd98/overview
XGP YES ,0,48,0,0,https://lolchess.gg/profile/BR/XGP YES ,https://app.mobalytics.gg/pt_br/tft/profile/BR/XGP YES /overview
スイボー,0,506,0,0,https://lolchess.gg/profile/BR/スイボー,https://app.mobalytics.gg/pt_br/tft/profile/BR/スイボー/overview
lkzzzzz,0,417,0,20,https://lolchess.gg/profile/BR/lkzzzzz,https://app.mobalytics.gg/pt_br/tft/profile/BR/lkzzzzz/overview
POPUN,0,251,0,0,https://lolchess.gg/profile/BR/POPUN,https://app.mobalytics.gg/pt_br/tft/profile/BR/POPUN/overview
hkq520ywt1314,0,98,0,0,https://lolchess.gg/profile/BR/hkq520ywt1314,https://app.mobalytics.gg/pt_br/tft/profile/BR/hkq520ywt1314/overview
Melody nunu,0,47,0,0,https://lolchess.gg/profile/BR/Melody nunu,https://app.mobalytics.gg/pt_br/tft/profile/BR/Melody nunu/overview
MUULOL,0,44,0,0,https://lolchess.gg/profile/BR/MUULOL,https://app.mobalytics.gg/pt_br/tft/profile/BR/MUULOL/overview
jacky071,0,153,0,0,https://lolchess.gg/profile/BR/jacky071,https://app.mobalytics.gg/pt_br/tft/profile/BR/jacky071/overview
Natsu0702,0,82,0,0,https://lolchess.gg/profile/BR/Natsu0702,https://app.mobalytics.gg/pt_br/tft/profile/BR/Natsu0702/overview
minatofzy,0,285,0,6,https://lolchess.gg/profile/BR/minatofzy,https://app.mobalytics.gg/pt_br/tft/profile/BR/minatofzy/overview
Yup0,0,190,0,1,https://lolchess.gg/profile/BR/Yup0,https://app.mobalytics.gg/pt_br/tft/profile/BR/Yup0/overview
CantNerfThis,0,51,0,0,https://lolchess.gg/profile/BR/CantNerfThis,https://app.mobalytics.gg/pt_br/tft/profile/BR/CantNerfThis/overview
dendenmushi,0,316,0,0,https://lolchess.gg/profile/BR/dendenmushi,https://app.mobalytics.gg/pt_br/tft/profile/BR/dendenmushi/overview
xia夏,0,138,0,8,https://lolchess.gg/profile/BR/xia夏,https://app.mobalytics.gg/pt_br/tft/profile/BR/xia夏/overview
RsKz nora,0,130,0,7,https://lolchess.gg/profile/BR/RsKz nora,https://app.mobalytics.gg/pt_br/tft/profile/BR/RsKz nora/overview
hsksjsh,0,150,0,6,https://lolchess.gg/profile/BR/hsksjsh,https://app.mobalytics.gg/pt_br/tft/profile/BR/hsksjsh/overview
VSPHKL,0,76,0,0,https://lolchess.gg/profile/BR/VSPHKL,https://app.mobalytics.gg/pt_br/tft/profile/BR/VSPHKL/overview
実験室の白ネズミ,0,269,0,0,https://lolchess.gg/profile/BR/実験室の白ネズミ,https://app.mobalytics.gg/pt_br/tft/profile/BR/実験室の白ネズミ/overview
Welzes,0,284,0,1,https://lolchess.gg/profile/BR/Welzes,https://app.mobalytics.gg/pt_br/tft/profile/BR/Welzes/overview
F L,0,116,0,0,https://lolchess.gg/profile/BR/F L,https://app.mobalytics.gg/pt_br/tft/profile/BR/F L/overview
LFジェット,0,101,0,0,https://lolchess.gg/profile/BR/LFジェット,https://app.mobalytics.gg/pt_br/tft/profile/BR/LFジェット/overview
0000021,0,113,0,0,https://lolchess.gg/profile/BR/0000021,https://app.mobalytics.gg/pt_br/tft/profile/BR/0000021/overview
thunderbirdddddd,0,83,0,0,https://lolchess.gg/profile/BR/thunderbirdddddd,https://app.mobalytics.gg/pt_br/tft/profile/BR/thunderbirdddddd/overview
んふふブヒー,0,229,0,0,https://lolchess.gg/profile/BR/んふふブヒー,https://app.mobalytics.gg/pt_br/tft/profile/BR/んふふブヒー/overview
kanichang,0,49,0,1,https://lolchess.gg/profile/BR/kanichang,https://app.mobalytics.gg/pt_br/tft/profile/BR/kanichang/overview
AIlexceed,0,105,0,0,https://lolchess.gg/profile/BR/AIlexceed,https://app.mobalytics.gg/pt_br/tft/profile/BR/AIlexceed/overview
zorch,0,357,0,0,https://lolchess.gg/profile/BR/zorch,https://app.mobalytics.gg/pt_br/tft/profile/BR/zorch/overview
youA,0,108,0,0,https://lolchess.gg/profile/BR/youA,https://app.mobalytics.gg/pt_br/tft/profile/BR/youA/overview
andylaulo,0,155,0,2,https://lolchess.gg/profile/BR/andylaulo,https://app.mobalytics.gg/pt_br/tft/profile/BR/andylaulo/overview
VN LongLuvN,0,355,0,0,https://lolchess.gg/profile/BR/VN LongLuvN,https://app.mobalytics.gg/pt_br/tft/profile/BR/VN LongLuvN/overview
nxnam,0,95,0,2,https://lolchess.gg/profile/BR/nxnam,https://app.mobalytics.gg/pt_br/tft/profile/BR/nxnam/overview
希望No,0,341,0,0,https://lolchess.gg/profile/BR/希望No,https://app.mobalytics.gg/pt_br/tft/profile/BR/希望No/overview
Game Nhái LiênQ,0,224,0,0,https://lolchess.gg/profile/BR/Game Nhái LiênQ,https://app.mobalytics.gg/pt_br/tft/profile/BR/Game Nhái LiênQ/overview
AstroHey,0,481,0,0,https://lolchess.gg/profile/BR/AstroHey,https://app.mobalytics.gg/pt_br/tft/profile/BR/AstroHey/overview
ぐれい,0,230,0,0,https://lolchess.gg/profile/BR/ぐれい,https://app.mobalytics.gg/pt_br/tft/profile/BR/ぐれい/overview
