Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
あきこだよ,1049,528,192,33,https://lolchess.gg/profile/BR/あきこだよ,https://app.mobalytics.gg/pt_br/tft/profile/BR/あきこだよ/overview
mustan2123,456,656,190,111,https://lolchess.gg/profile/BR/mustan2123,https://app.mobalytics.gg/pt_br/tft/profile/BR/mustan2123/overview
ぬるかな,1051,578,188,88,https://lolchess.gg/profile/BR/ぬるかな,https://app.mobalytics.gg/pt_br/tft/profile/BR/ぬるかな/overview
furret0709,342,556,188,86,https://lolchess.gg/profile/BR/furret0709,https://app.mobalytics.gg/pt_br/tft/profile/BR/furret0709/overview
Bust出下位JK,459,182,186,25,https://lolchess.gg/profile/BR/Bust出下位JK,https://app.mobalytics.gg/pt_br/tft/profile/BR/Bust出下位JK/overview
sagis,334,607,184,45,https://lolchess.gg/profile/BR/sagis,https://app.mobalytics.gg/pt_br/tft/profile/BR/sagis/overview
トクホ,184,276,184,27,https://lolchess.gg/profile/BR/トクホ,https://app.mobalytics.gg/pt_br/tft/profile/BR/トクホ/overview
Malz,257,92,183,18,https://lolchess.gg/profile/BR/Malz,https://app.mobalytics.gg/pt_br/tft/profile/BR/Malz/overview
Theshy qi fei,467,270,181,17,https://lolchess.gg/profile/BR/Theshy qi fei,https://app.mobalytics.gg/pt_br/tft/profile/BR/Theshy qi fei/overview
Nekokage,289,148,179,65,https://lolchess.gg/profile/BR/Nekokage,https://app.mobalytics.gg/pt_br/tft/profile/BR/Nekokage/overview
か い,187,172,177,31,https://lolchess.gg/profile/BR/か い,https://app.mobalytics.gg/pt_br/tft/profile/BR/か い/overview
HuongHelen,177,261,177,69,https://lolchess.gg/profile/BR/HuongHelen,https://app.mobalytics.gg/pt_br/tft/profile/BR/HuongHelen/overview
ハジラミ,804,371,176,180,https://lolchess.gg/profile/BR/ハジラミ,https://app.mobalytics.gg/pt_br/tft/profile/BR/ハジラミ/overview
frosttopaz,545,114,175,22,https://lolchess.gg/profile/BR/frosttopaz,https://app.mobalytics.gg/pt_br/tft/profile/BR/frosttopaz/overview
Take it ez,695,244,171,19,https://lolchess.gg/profile/BR/Take it ez,https://app.mobalytics.gg/pt_br/tft/profile/BR/Take it ez/overview
sabobbqsauce,209,227,170,40,https://lolchess.gg/profile/BR/sabobbqsauce,https://app.mobalytics.gg/pt_br/tft/profile/BR/sabobbqsauce/overview
とあるK君,621,186,168,40,https://lolchess.gg/profile/BR/とあるK君,https://app.mobalytics.gg/pt_br/tft/profile/BR/とあるK君/overview
dango hentai,972,206,165,20,https://lolchess.gg/profile/BR/dango hentai,https://app.mobalytics.gg/pt_br/tft/profile/BR/dango hentai/overview
