Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
Hèart,66,108,0,0.0,https://lolchess.gg/profile/KR/Hèart
Yaobobobo,64,114,0,0.0,https://lolchess.gg/profile/KR/Yaobobobo
Shaymin,63,167,0,0.0,https://lolchess.gg/profile/KR/Shaymin
ShakingBussy,59,121,0,0.0,https://lolchess.gg/profile/KR/ShakingBussy
PlsDontBlameJG,57,182,0,0.0,https://lolchess.gg/profile/KR/PlsDontBlameJG
90pctOffAquarius,57,118,0,0.0,https://lolchess.gg/profile/KR/90pctOffAquarius
AlvinIsADouchbag,56,128,0,0.0,https://lolchess.gg/profile/KR/AlvinIsADouchbag
FusionC0RE,55,138,0,0.0,https://lolchess.gg/profile/KR/FusionC0RE
RyanD,54,165,0,0.0,https://lolchess.gg/profile/KR/RyanD
i crash u crash,46,179,0,0.0,https://lolchess.gg/profile/KR/i crash u crash
Polyrhythm,44,142,0,0.0,https://lolchess.gg/profile/KR/Polyrhythm
Distortion,40,85,0,0.0,https://lolchess.gg/profile/KR/Distortion
Renamed,40,89,0,0.0,https://lolchess.gg/profile/KR/Renamed
VainF,40,104,0,0.0,https://lolchess.gg/profile/KR/VainF
wooni,38,179,0,0.0,https://lolchess.gg/profile/KR/wooni
Trained Monkey,37,150,0,0.0,https://lolchess.gg/profile/KR/Trained Monkey
TFT Enthusiast,35,98,0,0.0,https://lolchess.gg/profile/KR/TFT Enthusiast
stop rerolling,35,212,0,0.0,https://lolchess.gg/profile/KR/stop rerolling
korean amy,34,123,0,0.0,https://lolchess.gg/profile/KR/korean amy
Ewøk,34,87,0,0.0,https://lolchess.gg/profile/KR/Ewøk
Tao Qi,34,127,0,0.0,https://lolchess.gg/profile/KR/Tao Qi
Unusual Milkman,34,150,0,0.0,https://lolchess.gg/profile/KR/Unusual Milkman
shuffletype,31,128,0,0.0,https://lolchess.gg/profile/KR/shuffletype
goupscord,31,87,0,0.0,https://lolchess.gg/profile/KR/goupscord
teeoftea,30,69,0,0.0,https://lolchess.gg/profile/KR/teeoftea
phynxie,29,113,0,0.0,https://lolchess.gg/profile/KR/phynxie
Albert,29,116,0,0.0,https://lolchess.gg/profile/KR/Albert
Blooey,27,78,0,0.0,https://lolchess.gg/profile/KR/Blooey
AGAZZAGA,27,129,0,0.0,https://lolchess.gg/profile/KR/AGAZZAGA
MIMIK0,26,120,0,0.0,https://lolchess.gg/profile/KR/MIMIK0
Bilo D Sugar,26,167,0,0.0,https://lolchess.gg/profile/KR/Bilo D Sugar
EZ 4 ENCE ENCE,20,106,0,0.0,https://lolchess.gg/profile/KR/EZ 4 ENCE ENCE
Aphasiac,20,154,0,0.0,https://lolchess.gg/profile/KR/Aphasiac
Heir,20,102,0,0.0,https://lolchess.gg/profile/KR/Heir
WatermelonXg,19,86,0,0.0,https://lolchess.gg/profile/KR/WatermelonXg
pixel8,19,126,0,0.0,https://lolchess.gg/profile/KR/pixel8
SupremeDestroyer,18,139,0,0.0,https://lolchess.gg/profile/KR/SupremeDestroyer
CCCCCCzar,16,118,0,0.0,https://lolchess.gg/profile/KR/CCCCCCzar
Splatt,15,69,0,0.0,https://lolchess.gg/profile/KR/Splatt
Eunwol,15,64,0,0.0,https://lolchess.gg/profile/KR/Eunwol
triplerhythm,14,146,0,0.0,https://lolchess.gg/profile/KR/triplerhythm
Tungbun,13,47,0,0.0,https://lolchess.gg/profile/KR/Tungbun
kìrì,12,203,0,0.0,https://lolchess.gg/profile/KR/kìrì
