,Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
67,Thot Pilgrim,90,180,0,0.0,https://lolchess.gg/profile/KR/Thot Pilgrim
68,Xerowo,89,157,0,0.0,https://lolchess.gg/profile/KR/Xerowo
69,Law of the few,86,129,0,0.0,https://lolchess.gg/profile/KR/Law of the few
70,J3ng,85,91,0,0.0,https://lolchess.gg/profile/KR/J3ng
71,Ramsey Sama,84,183,0,0.0,https://lolchess.gg/profile/KR/Ramsey Sama
72,Thomeboidontkill,84,51,0,0.0,https://lolchess.gg/profile/KR/Thomeboidontkill
73,xihuanlzz,79,137,0,0.0,https://lolchess.gg/profile/KR/xihuanlzz
74,taylorswiftfan63,76,99,0,0.0,https://lolchess.gg/profile/KR/taylorswiftfan63
75,Rocheal,74,147,0,0.0,https://lolchess.gg/profile/KR/Rocheal
76,Yangster,72,128,0,0.0,https://lolchess.gg/profile/KR/Yangster
77,Qoo,68,149,0,0.0,https://lolchess.gg/profile/KR/Qoo
78,jilhf,68,184,0,0.0,https://lolchess.gg/profile/KR/jilhf
79,DayumSayum,68,77,0,0.0,https://lolchess.gg/profile/KR/DayumSayum
80,TFT NZ,68,109,0,0.0,https://lolchess.gg/profile/KR/TFT NZ
81,Hèart,66,108,0,0.0,https://lolchess.gg/profile/KR/Hèart
82,Yaobobobo,64,114,0,0.0,https://lolchess.gg/profile/KR/Yaobobobo
83,Shaymin,63,167,0,0.0,https://lolchess.gg/profile/KR/Shaymin
84,ShakingBussy,59,121,0,0.0,https://lolchess.gg/profile/KR/ShakingBussy
85,PlsDontBlameJG,57,182,0,0.0,https://lolchess.gg/profile/KR/PlsDontBlameJG
86,90pctOffAquarius,57,118,0,0.0,https://lolchess.gg/profile/KR/90pctOffAquarius
87,AlvinIsADouchbag,56,128,0,0.0,https://lolchess.gg/profile/KR/AlvinIsADouchbag
88,FusionC0RE,55,138,0,0.0,https://lolchess.gg/profile/KR/FusionC0RE
89,RyanD,54,165,0,0.0,https://lolchess.gg/profile/KR/RyanD
90,i crash u crash,46,179,0,0.0,https://lolchess.gg/profile/KR/i crash u crash
91,Polyrhythm,44,142,0,0.0,https://lolchess.gg/profile/KR/Polyrhythm
92,Distortion,40,85,0,0.0,https://lolchess.gg/profile/KR/Distortion
93,Renamed,40,89,0,0.0,https://lolchess.gg/profile/KR/Renamed
94,VainF,40,104,0,0.0,https://lolchess.gg/profile/KR/VainF
95,wooni,38,179,0,0.0,https://lolchess.gg/profile/KR/wooni
96,Trained Monkey,37,150,0,0.0,https://lolchess.gg/profile/KR/Trained Monkey
97,TFT Enthusiast,35,98,0,0.0,https://lolchess.gg/profile/KR/TFT Enthusiast
98,stop rerolling,35,212,0,0.0,https://lolchess.gg/profile/KR/stop rerolling
99,korean amy,34,123,0,0.0,https://lolchess.gg/profile/KR/korean amy
100,Ewøk,34,87,0,0.0,https://lolchess.gg/profile/KR/Ewøk
101,Tao Qi,34,127,0,0.0,https://lolchess.gg/profile/KR/Tao Qi
102,Unusual Milkman,34,150,0,0.0,https://lolchess.gg/profile/KR/Unusual Milkman
103,shuffletype,31,128,0,0.0,https://lolchess.gg/profile/KR/shuffletype
104,goupscord,31,87,0,0.0,https://lolchess.gg/profile/KR/goupscord
105,teeoftea,30,69,0,0.0,https://lolchess.gg/profile/KR/teeoftea
106,phynxie,29,113,0,0.0,https://lolchess.gg/profile/KR/phynxie
107,Albert,29,116,0,0.0,https://lolchess.gg/profile/KR/Albert
108,Blooey,27,78,0,0.0,https://lolchess.gg/profile/KR/Blooey
109,AGAZZAGA,27,129,0,0.0,https://lolchess.gg/profile/KR/AGAZZAGA
110,MIMIK0,26,120,0,0.0,https://lolchess.gg/profile/KR/MIMIK0
111,Bilo D Sugar,26,167,0,0.0,https://lolchess.gg/profile/KR/Bilo D Sugar
112,EZ 4 ENCE ENCE,20,106,0,0.0,https://lolchess.gg/profile/KR/EZ 4 ENCE ENCE
113,Aphasiac,20,154,0,0.0,https://lolchess.gg/profile/KR/Aphasiac
114,Heir,20,102,0,0.0,https://lolchess.gg/profile/KR/Heir
115,WatermelonXg,19,86,0,0.0,https://lolchess.gg/profile/KR/WatermelonXg
116,pixel8,19,126,0,0.0,https://lolchess.gg/profile/KR/pixel8
117,SupremeDestroyer,18,139,0,0.0,https://lolchess.gg/profile/KR/SupremeDestroyer
118,CCCCCCzar,16,118,0,0.0,https://lolchess.gg/profile/KR/CCCCCCzar
119,Splatt,15,69,0,0.0,https://lolchess.gg/profile/KR/Splatt
120,Eunwol,15,64,0,0.0,https://lolchess.gg/profile/KR/Eunwol
121,triplerhythm,14,146,0,0.0,https://lolchess.gg/profile/KR/triplerhythm
122,Tungbun,13,47,0,0.0,https://lolchess.gg/profile/KR/Tungbun
123,kìrì,12,203,0,0.0,https://lolchess.gg/profile/KR/kìrì
124,Abandonedd,12,174,0,0.0,https://lolchess.gg/profile/KR/Abandonedd
125,Omnî,10,81,0,0.0,https://lolchess.gg/profile/KR/Omnî
126,Cryocriptic,10,186,0,0.0,https://lolchess.gg/profile/KR/Cryocriptic
127,lmrllhh,10,99,0,0.0,https://lolchess.gg/profile/KR/lmrllhh
128,TwTv Dankbanana1,10,143,0,0.0,https://lolchess.gg/profile/KR/TwTv Dankbanana1
129,Op Playerz,10,95,0,0.0,https://lolchess.gg/profile/KR/Op Playerz
130,Teemos dad,10,82,0,0.0,https://lolchess.gg/profile/KR/Teemos dad
131,farrarco,9,70,0,0.0,https://lolchess.gg/profile/KR/farrarco
132,Andrèw,7,74,0,0.0,https://lolchess.gg/profile/KR/Andrèw
133,Haropeople,6,69,0,0.0,https://lolchess.gg/profile/KR/Haropeople
134,Firstfire,0,171,0,0.0,https://lolchess.gg/profile/KR/Firstfire
135,xJAIFZ,0,96,0,0.0,https://lolchess.gg/profile/KR/xJAIFZ
136,Hbabe,0,136,0,0.0,https://lolchess.gg/profile/KR/Hbabe
137,CCCCCHANCE,0,132,0,0.0,https://lolchess.gg/profile/KR/CCCCCHANCE
138,Kuuu,0,106,0,0.0,https://lolchess.gg/profile/KR/Kuuu
139,Anakxn,0,108,0,0.0,https://lolchess.gg/profile/KR/Anakxn
140,pong670,0,169,0,0.0,https://lolchess.gg/profile/KR/pong670
141,Healara,0,159,0,0.0,https://lolchess.gg/profile/KR/Healara
142,Yoohyeon Kim,0,86,0,0.0,https://lolchess.gg/profile/KR/Yoohyeon Kim
143,Mia,0,73,0,0.0,https://lolchess.gg/profile/KR/Mia
144,yummydinosaur,0,114,0,0.0,https://lolchess.gg/profile/KR/yummydinosaur
145,Elden Coochie,0,156,0,0.0,https://lolchess.gg/profile/KR/Elden Coochie
146,BoomShakaraka,0,106,0,0.0,https://lolchess.gg/profile/KR/BoomShakaraka
147,Y x,0,143,0,0.0,https://lolchess.gg/profile/KR/Y x
148,Gangplank98,0,89,0,0.0,https://lolchess.gg/profile/KR/Gangplank98
149,GC161,0,273,0,0.0,https://lolchess.gg/profile/KR/GC161
150,explicît,0,90,0,0.0,https://lolchess.gg/profile/KR/explicît
151,Unhert,0,101,0,0.0,https://lolchess.gg/profile/KR/Unhert
152,Datdyr,0,216,0,0.0,https://lolchess.gg/profile/KR/Datdyr
153,summon3r003,0,128,0,0.0,https://lolchess.gg/profile/KR/summon3r003
154,KIein Moretti,0,124,0,0.0,https://lolchess.gg/profile/KR/KIein Moretti
155,Lou is Sleepy,0,166,0,0.0,https://lolchess.gg/profile/KR/Lou is Sleepy
156,icingmoon,0,136,0,0.0,https://lolchess.gg/profile/KR/icingmoon
157,Volt,0,85,0,0.0,https://lolchess.gg/profile/KR/Volt
158,Revel Abuser,0,123,0,0.0,https://lolchess.gg/profile/KR/Revel Abuser
159,Cinas,0,103,0,0.0,https://lolchess.gg/profile/KR/Cinas
160,Jodanonechamp,0,183,0,0.0,https://lolchess.gg/profile/KR/Jodanonechamp
161,Psywave,0,146,0,0.0,https://lolchess.gg/profile/KR/Psywave
162,cydokinesis,0,98,0,0.0,https://lolchess.gg/profile/KR/cydokinesis
163,WottS,0,190,0,0.0,https://lolchess.gg/profile/KR/WottS
164,yee,0,130,0,0.0,https://lolchess.gg/profile/KR/yee
165,Prof Oakenshield,0,102,0,0.0,https://lolchess.gg/profile/KR/Prof Oakenshield
166,Dàrk,0,82,0,0.0,https://lolchess.gg/profile/KR/Dàrk
167,v1nnegar,0,152,0,0.0,https://lolchess.gg/profile/KR/v1nnegar
168,TURBOVIRGIN69,154,101,-10,1.0,https://lolchess.gg/profile/KR/TURBOVIRGIN69
169,m2att,0,164,-52,1.0,https://lolchess.gg/profile/KR/m2att
170,liontiger,6,219,0,0.0,https://lolchess.gg/profile/KR/liontiger
