,Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
124,ph xís,32,176,0,0,https://lolchess.gg/profile/KR/ph xís
125,HawkEyeCs7,31,135,0,0,https://lolchess.gg/profile/KR/HawkEyeCs7
126,OzNe TFT,29,230,0,0,https://lolchess.gg/profile/KR/OzNe TFT
127,TwTv OgumexU,28,92,0,0,https://lolchess.gg/profile/KR/TwTv OgumexU
128,crïspim,28,95,0,0,https://lolchess.gg/profile/KR/crïspim
129,TFx b4zz,27,183,0,0,https://lolchess.gg/profile/KR/TFx b4zz
130,MJN cailul,26,195,0,0,https://lolchess.gg/profile/KR/MJN cailul
131,Sr ÁviIa,26,227,0,0,https://lolchess.gg/profile/KR/Sr ÁviIa
132,420blazeit,26,101,0,0,https://lolchess.gg/profile/KR/420blazeit
133,CPV Biel,24,182,0,0,https://lolchess.gg/profile/KR/CPV Biel
134,TFT muz1n 237,24,108,0,0,https://lolchess.gg/profile/KR/TFT muz1n 237
135,É 0 GRÊMIO,21,44,0,0,https://lolchess.gg/profile/KR/É 0 GRÊMIO
136,Carinha de Raiva,20,105,0,0,https://lolchess.gg/profile/KR/Carinha de Raiva
137,Gzaga,20,170,0,0,https://lolchess.gg/profile/KR/Gzaga
138,Fioravante,18,239,0,0,https://lolchess.gg/profile/KR/Fioravante
139,BOOMZlM,18,238,0,0,https://lolchess.gg/profile/KR/BOOMZlM
140,Toxye1,18,77,0,0,https://lolchess.gg/profile/KR/Toxye1
141,PepeChill,18,168,0,0,https://lolchess.gg/profile/KR/PepeChill
142,Xwmn,17,133,0,0,https://lolchess.gg/profile/KR/Xwmn
143,Maikin,17,147,0,0,https://lolchess.gg/profile/KR/Maikin
144,Yorù ,15,181,0,0,https://lolchess.gg/profile/KR/Yorù 
145,Haxwei,15,41,0,0,https://lolchess.gg/profile/KR/Haxwei
146,Ryok,13,102,0,0,https://lolchess.gg/profile/KR/Ryok
147,TheoZiuL,13,158,0,0,https://lolchess.gg/profile/KR/TheoZiuL
148,Lelouch XVIII,12,181,0,0,https://lolchess.gg/profile/KR/Lelouch XVIII
149,Gummy,12,180,0,0,https://lolchess.gg/profile/KR/Gummy
150,Ungoriath,10,155,0,0,https://lolchess.gg/profile/KR/Ungoriath
151,LGarciax,10,230,0,0,https://lolchess.gg/profile/KR/LGarciax
152,inc mplete,10,209,0,0,https://lolchess.gg/profile/KR/inc mplete
153,CPV AndrewD,10,104,0,0,https://lolchess.gg/profile/KR/CPV AndrewD
154,KDA Bizola,10,109,0,0,https://lolchess.gg/profile/KR/KDA Bizola
155,WarlockJapa,10,303,0,0,https://lolchess.gg/profile/KR/WarlockJapa
156,vowk,10,98,0,0,https://lolchess.gg/profile/KR/vowk
157,INTZ ian,10,171,0,0,https://lolchess.gg/profile/KR/INTZ ian
158,TeteuDeJulietTFT,9,78,0,0,https://lolchess.gg/profile/KR/TeteuDeJulietTFT
159,AYUNI D,8,159,0,0,https://lolchess.gg/profile/KR/AYUNI D
160,Kelkks,7,75,0,0,https://lolchess.gg/profile/KR/Kelkks
161,cnb ketsvne,7,84,0,0,https://lolchess.gg/profile/KR/cnb ketsvne
162,Toom Bombardil,5,117,0,0,https://lolchess.gg/profile/KR/Toom Bombardil
163,Hushtail Jin,5,154,0,0,https://lolchess.gg/profile/KR/Hushtail Jin
164,Capivara xD,4,122,0,0,https://lolchess.gg/profile/KR/Capivara xD
165,Vampyrus,2,169,0,0,https://lolchess.gg/profile/KR/Vampyrus
166,Espectus,2,105,0,0,https://lolchess.gg/profile/KR/Espectus
